variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
id,Participant id,Stores participant id,s1_r1_e1,integer,"[0,inf]",NA,NA,1,NA,direct-psychopy
old_object_in_surp,The surprise memory task; shows the name and address of the old objects displayed.,This variable stores the address and the name of  old images that are shown in the surprise task.,s1_r1_e1,char,path names,path names,NA,1,NA,direct-psychopy
new_object_in_surp,The surprise memory task; shows the name and address of the new objects displayed.,This variable stores the address and the name of  new images that are shown in the surprise task.,s1_r1_e1,char,path names,path names,NA,1,NA,direct-psychopy
which_side_old_object_displayed,The surprise memory task; shows the side on which the old image is shown.,This variable stores the true value of the side on which the old image is shown.,s1_r1_e1,char,"right, left",NA,NA,1,NA,direct-psychopy
congruent,The object flanker task; shows if the trial is congruent or not. ,This variable stores the value as to whether the given flanker trial is congruent or not.,s1_r1_e1,logical,"0, 1","0, no | 1, yes",NA,1,NA,direct-psychopy
stimNum,The object flanker task; shows which stimulus array was displayed in the trial.,This variable stores the value denoting which stimulus array has been displayed in a trial. ,s1_r1_e1,integer,"5, 6, 7, 8","5, right congruent | 6, left congruent | 7, right incongruent | 8, left incongruent ",NA,1,NA,direct-psychopy
accuracy,The object flanker task; shows if the response is correct or not. ,This variable stores the value as to whether the participant has responded correctly. ,s1_r1_e1,logical,"0, 1","0, incorrect | 1, correct",NA,1,NA,direct-psychopy
surprise_key_resp.rt,The surprise memory task; contains the reaction time values for the responses.,This variable stores the reaction time for the response key presses in the surprise memory task.,s1_r1_e1,vector of chars,"[0,inf]",seconds,NA,1,NA,direct-psychopy
surprise_key_resp.keys,The surprise memory task; show which key was pressed by the participant.,This variable stores the value denoting which key has been pressed as a response in the given surprise memory task trial.,s1_r1_e1,vector of chars,"""s"", ""k""","s, left | k, right",NA,1,NA,direct-psychopy
task1_stim_keyResp.keys,The object flanker task; show which key was pressed by the participant.,This variable stores the value denoting which key has been pressed as a response in the given flanker task trial.,s1_r1_e1,vector of chars,"""s"", ""k""","s, left | k, right",NA,1,NA,direct-psychopy
errorNum_text_box.text,The objects flanker task; shows the reported number of errors (for the object flanker task) by the participant. ,This variable stores the value reported by the participant as the number of their errors during the  flanker task.,s1_r1_e1,integer,"[0,inf]",NA,NA,1,NA,direct-psychopy
errorPercent_text_box.text,The object flanker task; shows the reported percent of errors (for the object flanker task) by the participant. ,This variable stores the value reported by the participant as the percentage of their errors during the flanker task.,s1_r1_e1,integer,"[0,inf]",NA,NA,1,NA,direct-psychopy
straightObj,The object flanker task; contains the directory to the face image file that is shown during the object flanker task trial.,This variable stores the directory address for the flanker object shown in each trial. ,s1_r1_e1,char,path names,path names,NA,1,NA,direct-psychopy
task1_stim_keyResp.rt,The object flanker task; contains the reaction time values for the responses during the flanker task.,This variable stores the reaction time for the response key presses in the object flanker task.,s1_r1_e1,vector of chars,"[0,inf]",seconds,NA,1,NA,direct-psychopy
task_trial_loop.thisTrialN,The object flanker task; contains the number of trial in a block.,This variable stores the number of a trial in a block in the object flanker task.,s1_r1_e1,integer,"[0,31]",NA,NA,1,NA,direct-psychopy
task_block_loop.thisTrialN,The object flanker task; contains the number of block.,This variable stores the number of block in the object flanker task.,s1_r1_e1,integer,"[0,11]",NA,NA,1,NA,direct-psychopy
trials.thisTrialN,The surprise memory task; contains the number of trial in a block.,This variable stores the number of a trial in a block in the surprise task.,s1_r1_e1,integer,"[0,71]",NA,NA,1,NA,direct-psychopy
surprise_block_loop.thisTrialN,The surprise memory task; contains the number of block.,This variable stores the number of a block in the surprise task.,s1_r1_e1,integer,"[0,7]",NA,NA,1,NA,direct-psychopy
ISI,The object flanker task; contains the inter-trial interval time duration (this is actually ITI not ISI),This variable stores the inter-trial interval time duration,s1_r1_e1,real,"[0,inf]",seconds,NA,1,NA,direct-psychopy
bother_text_box.text,The object flanker task; contains self-reported number of discomfort for error commission ,This variable stores the self-reported number by participants in response to the question that asks how much error commission was bothersome,s1_r1_e1,integer,"[0,10]",NA,NA,1,NA,direct-psychopy